X,Y
20,30
439,49
335,158
204,399
483,88
269,133
443,312
596,230
380,323
314,20
674,325
24,68
525,218
272,184
511,410
776,358
160,289
671,167
577,85
227,236
53,140
181,391
727,167
126,112
398,133
402,263
442,275
719,242
693,381
372,379
455,364
145,140
362,165
447,273
262,260
107,164
601,374
757,271
221,146
575,364
473,220
272,277
543,30
508,206
36,41
510,357
700,79
114,167
104,165
177,134
594,299
511,106
658,179
39,185
509,153
734,308
443,300
497,167
346,90
279,102
190,40
605,303
213,82
15,255
363,396
723,144
351,15
668,133
492,118
87,30
225,170
425,102
115,356
33,58
326,96
669,21
569,70
197,330
492,170
523,349
156,123
172,143
549,245
186,315
603,291
242,113
144,223
500,176
174,130
594,273
281,202
484,163
771,24
771,287
601,239
345,119
283,38
692,259
393,188
545,306
